DUT,Bin,Site,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127,128,129,130,131,132,133,134,135,136,137,138,139,140,141,142,143,144,145,146,147,148,149,150,151,152
DUT,Bin,Site,GL Continuity,GH Continuity,SMOD Continuity,DISB Continuity,NC Continuity,VIN Continuity,PHASE Continuity,SW Continuity,BOOT Continuity,VCIN Continuity,PWM Continuity,THDN Continuity,VDRV_Continuity,PRE_UIL_IDSS,PEAK_ID,BV_AVALANCHE,POST_UIL_IDSS,Boot_Diode_IR,Boot_SW,Boot_Diode_VF,PRE_I_VDRV,PRE_I_VCIN,PRE_I_VIN,PRE_I_SMOD,PRE_I_THDN,PRE_I_PWM,PRE_I_DISB,AMR_I_VDRV,AMR_I_VCIN,AMR_I_VIN,AMR_I_SMOD,AMR_I_THDN,AMR_I_PWM,AMR_I_DISB,POST_I_VDRV,POST_I_VCIN,POST_I_VIN,POST_I_SMOD,POST_I_THDN,POST_I_PWM,POST_I_DISB,DELTA_I_VDRV,DELTA_I_VCIN,DELTA_I_VIN,DELTA_I_SMOD,DELTA_I_THDN,DELTA_I_PWM,DELTA_I_DISB,SW_PSD000,SW_PSD010,SW_PSD110,SW_PSD100,SW_PSD001,SW_PSD011,SW_PSD101,SW_PSD111,SW_PSDx11,SW_PSDx01,SW_PSD000,PWM_FLOAT,I_PWM_HI,I_PWM_LO,PWMSrcRes,PWMSnkRes,PWM_TRI_LO_GH,PWM_TRI_LO_GL,PWM_VIH_GH,PWM_VIH_GL,PWM_TRI_HI_GH,PWM_TRI_HI_GL,PWM_VIL_GH,PWM_VIL_GL,SMOD_FLOAT,SMOD_ON,SMOD_OFF,I_SMOD_HI,I_SMOD_LO,DISB_FLOAT,DISB_ON,DISB_OFF,I_DISB_HI,I_DISB_LO,IQ_PSD000_VCIN,IQ_PSD000_VDRV,IQ_PSD000_VIN,IQ_PSD010_VCIN,IQ_PSD010_VDRV,IQ_PSD010_VIN,IQ_PSD011_VCIN,IQ_PSD011_VDRV,IQ_PSD011_VIN,IQ_PSD101_VCIN,IQ_PSD101_VDRV,IQ_PSD101_VIN,IQ_PSD111_VCIN,IQ_PSD111_VDRV,IQ_PSD111_VIN,IQ_PSDX11_VCIN,IQ_PSDX11_VDRV,IQ_PSDX11_VIN,UVLO_UP,UVLO_DN,UVLO_HYS,LdrvSource,LdrvSink,HdrvSource,HdrvSink,HS_Vgsth,HSFET_VSD,HSFET_IDSS,HSFET_IDON,HSFET_RDSON,LS_Vgsth,LSFET_VSD,LSFET_IDSS,LSFET_IDON,LSFET_RDSON,Tr_gh,Tf_gh,Td_deadon,Tpd_plghl,Tpd_phghh,Tpd_tsghh,Tr_gl,Tf_gl,T_ZCD_min,Tpd_phgll,Tpd_tsglh,Td_holdoff,Tpd_disbl,Tpd_disbh,Tpd_slgll,Tpd_shglh,Tdeadoff,Tdeadon,IQ_VIN_1000F_5,IQ_VIN_1000F_5_5,IQ_VIN_1000F_6,IQ_VIN_Ratio_5V_6V,POST_I_VDRV,POST_I_VCIN,POST_I_VIN,POST_I_SMOD,POST_I_THDN,POST_I_PWM,POST_I_DISB,DELTA_I_VDRV,DELTA_I_VCIN,DELTA_I_VIN,DELTA_I_SMOD,DELTA_I_THDN,DELTA_I_PWM,DELTA_I_DISB
1,3,0,-0.526593,-0.000234515,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,3,1,-0.526518,-0.000197036,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,3,0,-0.526493,-0.000197036,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,3,1,-0.526556,-0.000234515,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,3,0,-0.526481,-0.000184543,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,3,1,-0.526431,-0.000247008,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,1,0,-0.527,-0.524,-0.549,-0.547,-4.093,-0.512,-0.211,-0.161,-0.54,-0.532,-0.547,-0.653,-0.55,0.004,10.372,35.872,0.012,-0.3041,0.65417,729.23,2.115,0.569,0.599,-0.002,76.683,9.507,11.26,2.608,0.636,1.536,-0.002,96.517,11.257,12.201,0.243,0.57,0.523,-0.003,76.683,9.554,11.264,1.873,0,0.076,0.001,-0.001,-0.047,-0.004,1,1,1,1.001,1.002,0,12.004,12.004,1.002,1,1.001,2.326,249.254,-251.076,19.912,17.323,1.001,0,12.004,0,1.002,0,0,5,2.918,5,0,-1.375,-5.308,-0.323,5,0,10.796,-0.032,0.142,-0.000249,0.00131,0.059,0.003313,0.001277,0.572,-0.002207,-0.000002,0.492,0.01,0.000726,0.377,-0.000399,0.641,0.325,0.000808,0.000064,3.165,2.864,301.043,1.135,0.407,0.962,0.774,1.111,0.835,6.142,30.201,4.227,1.304,0.736,11.2,29.987,0.992,10.94,6.12,26.659,16.238,27.653,26.849,35.1,14.723,500,28.378,16.656,177.806,218.063,512.497,1606.836,15.307,11.005,16.984,81.661,82.094,82.309,100.793,1.818,0.567,0.162,-0.003,76.606,9.491,11.333,-0.297,-0.002,-0.437,-0.001,-0.076,-0.016,0.073
8,1,1,-0.515,-0.521,-0.548,-0.546,-4.1,-0.475,-0.215,-0.165,-0.537,-0.532,-0.547,-0.653,-0.553,0.005,10.363,35.869,0.014,-0.25293,0.94855,724.72,2.302,0.586,0.978,0,82.418,10.665,10.958,2.857,0.655,1.833,-0.001,103.782,12.84,11.846,0.269,0.586,0.816,0.002,82.415,10.619,10.959,2.033,0,0.161,-0.002,0.003,0.047,-0.001,1,1,1,1.001,1.002,0.001,12,11.999,1.003,1.003,1.004,2.329,264.39,-254.304,19.658,17.144,1.001,0,11.999,0,1.003,0,0.002,5.002,2.95,5.001,0,-1.574,-5.948,-0.332,5.001,0,10.542,-0.018,0.144,0.001958,0.001672,0.061,0.003736,0.00177,0.589,-0.001315,0.00118,0.509,0.01,0.001364,0.396,0.002656,0.679,0.339,0.000143,0.001246,3.253,2.913,339.571,1.156,0.379,0.986,0.765,0.991,0.833,5.758,30.142,4.222,1.264,0.745,11,29.971,0.991,12.02,5.678,26.622,16.891,27.275,26.27,36.077,8.555,500,27.68,17,172.839,213.357,498.206,1741.108,15.712,11.857,18.564,78.701,79.09,79.374,100.854,2.428,0.585,0.721,0.002,82.327,10.634,11.026,0.126,-0.001,-0.257,0.002,-0.091,-0.031,0.067
9,1,0,-0.525,-0.527,-0.553,-0.55,-4.093,-0.514,-0.21,-0.159,-0.536,-0.536,-0.551,-0.653,-0.557,0.003,10.369,35.112,0.011,-0.23751,0.73238,724.43,2.199,0.588,0.869,0,82.423,10.71,11.285,2.626,0.658,1.813,-0.002,103.844,12.663,12.199,0.218,0.588,0.415,-0.002,82.419,10.772,11.287,1.981,0,0.454,0.002,0.004,-0.062,-0.002,1,1,1,1,1.002,0,12.005,12.005,1.003,1.002,1.002,2.337,262.692,-257.311,19.43,17.049,1,0,12.005,0,1.001,0,0,5,2.945,5,0,-1.58,-6.033,-0.324,5,0,10.838,-0.027,0.145,-0.000534,0.00072,0.061,0.003973,0.000621,0.591,-0.002595,0.000687,0.511,0.01,0.000529,0.394,0.00077,0.663,0.338,0.000145,0.000195,3.231,2.904,326.963,1.166,0.409,0.98,0.77,0.895,0.828,5.012,30.197,4.111,1.212,0.727,12,29.987,0.945,10.918,5.929,27.054,16.473,28.095,27.287,36.608,15.1,500,28.56,16.737,175.69,209.631,501.735,1791.473,15.575,11.363,16.5,81.694,82.174,82.576,101.08,2.305,0.587,0.477,-0.002,82.337,10.819,11.353,0.105,-0.001,-0.391,-0.002,-0.086,0.109,0.068
10,1,1,-0.526,-0.521,-0.55,-0.547,-4.093,-0.514,-0.21,-0.159,-0.54,-0.533,-0.548,-0.653,-0.553,0.004,10.372,35.916,0.012,-0.23877,0.60235,728.6,2.182,0.577,0.852,-0.001,77.32,9.601,11.894,2.607,0.643,1.773,-0.002,97.308,11.304,12.868,0.213,0.577,0.648,-0.003,77.319,9.632,11.899,1.969,0,0.204,0.001,0.001,-0.031,-0.006,1,1,1,1.001,1.002,0,12.005,12.005,1,1,1.002,2.323,253.182,-249.05,20.073,17.421,1,0,12.005,0,1.001,0,0.001,5,2.913,5,0,-1.37,-5.31,-0.322,5,0,11.443,-0.024,0.148,-0.000415,0.001113,0.058,0.004063,0.000752,0.579,-0.003233,0.000916,0.51,0.01,0.000359,0.387,0.001002,0.639,0.335,0.000229,0.000752,3.338,2.985,353.195,1.138,0.414,0.971,0.775,1.06,0.835,5.577,30.2,4.246,1.304,0.736,11.7,29.987,0.98,11.179,5.951,27.2,16.613,27.841,26.934,35.072,14.933,500,28.691,16.946,177.824,221.219,518.024,1857.364,15.401,11.08,17.271,82.006,82.498,82.787,100.952,1.807,0.575,0.533,-0.001,77.233,9.695,11.967,-0.375,-0.003,-0.319,0.001,-0.087,0.094,0.074
11,1,0,-0.518,-0.523,-0.55,-0.549,-4.1,-0.506,-0.21,-0.16,-0.534,-0.534,-0.55,-0.653,-0.555,0.005,10.36,35.685,0.013,-0.23877,0.93911,723.61,2.425,0.585,0.691,0.002,82.228,10.665,10.903,2.996,0.655,1.807,-0.001,103.568,13.028,11.8,0.284,0.586,0.546,0,82.224,10.884,10.902,2.141,0,0.145,0.002,0.005,-0.219,0.001,1,1,1,1.001,1.003,0.001,12,12.001,1.004,1.003,1,2.332,262.14,-257.673,19.4,16.968,1.002,0,12,0.001,1.003,0,0.001,5.001,2.965,5.001,0,-1.638,-6.079,-0.335,5.001,0,10.456,-0.023,0.143,0.001348,0.001573,0.06,0.00368,0.001082,0.588,-0.002019,0.000951,0.505,0.01,0.001436,0.392,0.001511,0.667,0.335,-0.000295,0.001475,3.167,2.863,303.925,1.173,0.381,0.993,0.767,0.918,0.831,5.679,30.153,4.106,1.252,0.74,11.3,29.971,0.988,11.123,5.688,27.855,17.159,27.463,26.707,37.092,11.085,500,27.614,17.32,173.885,218.122,495.256,2373.941,15.716,12.015,19.148,79.277,79.648,79.965,100.867,2.475,0.584,0.806,0,82.135,10.838,10.972,0.05,-0.001,0.115,-0.002,-0.094,0.172,0.068
12,1,1,-0.525,-0.525,-0.552,-0.55,-4.093,-0.512,-0.212,-0.161,-0.538,-0.535,-0.551,-0.653,-0.555,0.003,10.369,35.867,0.012,-0.224,0.62465,725.58,2.129,0.596,0.635,0,82.125,10.632,12.142,2.579,0.663,1.799,-0.002,103.443,12.757,13.125,0.216,0.596,0.954,-0.003,82.12,10.601,12.146,1.913,0,-0.319,0.004,0.005,0.031,-0.004,1,1,1,1.002,1.003,0,12.005,12.005,1.001,1,1.003,2.336,263.191,-253.487,19.723,17.294,1,0,12.005,0,1.003,0,0,5,2.94,5,0,-1.535,-5.878,-0.324,5,0,11.687,-0.028,0.151,0.000586,0.001441,0.061,0.004717,0.000588,0.598,-0.001941,0.001178,0.528,0.01,0.000523,0.405,0.000073,0.67,0.35,-0.000021,0.000457,3.424,3.055,368.497,1.155,0.41,0.995,0.78,1.035,0.833,4.64,30.191,4.192,1.324,0.737,10.8,29.988,0.975,11.255,6.102,27.06,16.367,28.047,26.968,35.334,14.848,500,28.525,16.459,175.601,214.819,511.399,1535.653,15.456,11.165,17.338,81.599,82.084,82.403,100.986,2.294,0.595,0.652,-0.003,82.03,10.757,12.214,0.165,-0.001,0.016,-0.003,-0.095,0.125,0.072
13,1,0,-0.514,-0.524,-0.548,-0.547,-4.1,-0.515,-0.216,-0.165,-0.54,-0.533,-0.548,-0.653,-0.553,0.005,10.366,35.815,0.013,-0.30296,0.93942,727.13,2.257,0.598,0.754,0.001,80.098,10.149,12.307,2.785,0.664,1.86,-0.002,100.844,12.292,13.297,0.317,0.598,0.727,0.002,80.098,10.321,12.312,1.941,0,0.026,-0.001,-0.001,-0.172,-0.005,1,1,1,1,1.001,0,11.999,11.997,1.004,1.003,1.004,2.326,259.671,-255.516,19.564,17.019,1.003,0,12,0,1.002,0,0.002,5.001,2.931,5.001,0,-1.484,-5.632,-0.334,5.001,0,11.832,-0.004,0.16,0.001608,0.002426,0.06,0.004058,0.000983,0.6,-0.002542,0.001344,0.54,0.01,0.001449,0.403,0.002578,0.646,0.35,-0.000242,0.001049,3.392,3.064,327.688,1.144,0.377,0.974,0.76,0.971,0.833,5.647,30.137,4.135,1.461,0.752,9.5,29.969,0.969,11.051,5.744,28.016,16.819,27.373,26.549,37.384,11.517,500,27.69,17.051,174.546,216.288,510.116,1408.73,15.846,12.623,19.306,80.621,81.059,81.336,100.888,2.386,0.597,0.81,-0.001,80.028,10.102,12.374,0.129,-0.001,0.056,-0.003,-0.07,-0.047,0.067
14,1,1,-0.517,-0.469,-0.552,-0.55,-4.093,-0.508,-0.215,-0.165,-0.538,-0.536,-0.55,-0.653,-0.556,0.004,10.372,35.796,0.013,-0.28085,0.61743,725.88,2.127,0.578,0.599,0,81.422,10.476,10.947,2.518,0.646,1.632,-0.002,102.535,12.507,11.822,0.255,0.578,0.405,-0.002,81.421,10.679,10.95,1.872,0,0.194,0.003,0.001,-0.203,-0.003,1,1,1,1,1.003,0,12.005,12.005,1,1.002,1,2.337,259.325,-252.377,19.81,17.383,1.002,-0.001,12.004,0,1,0,0,5,2.929,5,0,-1.482,-5.731,-0.325,5,0,10.525,-0.021,0.147,-0.001294,0.001244,0.059,0.004238,0.000588,0.581,-0.002232,0.000523,0.507,0.01,0.000464,0.388,0.000226,0.662,0.332,0.000135,0.000392,3.284,2.914,370.058,1.156,0.405,0.994,0.776,0.975,0.83,5.151,30.195,4.187,1.268,0.733,10.8,29.987,0.975,11.091,5.924,27.196,16.672,28.304,27.549,35.674,14.871,500,28.696,16.932,176.183,213.459,508.745,1614.018,15.627,11.902,17.095,81.328,81.821,82.153,101.014,2.33,0.577,0.645,-0.001,81.331,10.538,11.025,0.204,-0.001,0.046,-0.002,-0.091,0.062,0.078
15,1,0,-0.516,-0.523,-0.552,-0.549,-4.1,-0.512,-0.207,-0.157,-0.534,-0.536,-0.55,-0.653,-0.556,0.004,10.363,35.891,0.014,-0.29478,0.89253,723.23,2.476,0.603,1.067,0,82.864,10.916,13.048,3.033,0.671,1.735,-0.001,104.361,12.84,14.11,0.295,0.603,0.77,0,82.86,10.634,13.049,2.181,0,0.296,0,0.004,0.282,-0.001,1,1,1,1,1.001,0.002,11.999,12.001,1.003,1.002,1.004,2.342,269.202,-253.518,19.718,17.384,1.002,0,11.999,0,1,0,0.004,5.001,2.978,5.001,0,-1.698,-6.249,-0.334,5.001,0,12.551,-0.018,0.161,0.002318,0.001967,0.061,0.003267,0.001311,0.606,-0.001819,0.001606,0.548,0.01,0.001219,0.414,0.003783,0.682,0.357,0.000754,0.000623,3.457,3.104,352.39,1.174,0.38,0.983,0.765,1.003,0.833,5.763,30.139,4.168,1.22,0.738,12.9,29.97,0.964,11.118,5.683,26.953,16.872,27.507,26.817,38.046,9.761,500,27.661,17.376,173.801,211.582,507.588,1642.838,15.781,11.997,18.675,79.773,80.141,80.359,100.734,2.515,0.602,1.34,0.002,82.774,10.744,13.111,0.039,-0.001,0.273,0.002,-0.09,-0.172,0.063
16,1,1,-0.53,-0.526,-0.551,-0.549,-4.093,-0.469,-0.211,-0.16,-0.541,-0.534,-0.55,-0.653,-0.552,0.003,10.372,35.579,0.012,-0.22872,0.61397,730.26,2.169,0.57,0.793,-0.001,75.99,9.616,11.891,2.605,0.636,1.704,-0.002,95.661,11.632,12.89,0.237,0.57,0.471,-0.003,75.982,9.679,11.892,1.933,0,0.322,0.003,0.008,-0.062,-0.001,1,1,1,1.001,1.001,0,12.005,12.005,1.003,1,1.004,2.326,252.559,-248.4,20.127,17.511,1.002,0,12.005,0,1,0,0,5,2.895,5.001,0,-1.304,-5.094,-0.325,5,0,11.393,-0.023,0.143,-0.000212,0.000654,0.058,0.004085,0.000785,0.572,-0.003317,0.000228,0.495,0.01,0.000687,0.38,0.000223,0.624,0.328,0.000032,0.000097,3.242,2.924,317.594,1.128,0.402,0.958,0.771,1.027,0.83,5.243,30.194,4.095,1.196,0.727,11.6,29.988,0.974,10.379,5.976,26.737,16.27,27.66,26.716,34.337,14.766,500,28.421,16.571,177.083,219.318,513.068,2185.687,15.234,10.861,16.83,80.945,81.462,81.792,101.047,2.342,0.568,0.823,-0.002,75.907,9.616,11.957,0.173,-0.002,0.03,-0.002,-0.082,0,0.066
17,1,0,-0.528,-0.527,-0.554,-0.551,-4.093,-0.508,-0.213,-0.163,-0.536,-0.536,-0.552,-0.653,-0.557,0.004,10.369,35.579,0.011,-0.12161,0.73709,724.85,2.208,0.588,0.8,-0.002,83.005,10.772,11.8,2.531,0.656,1.875,-0.001,104.574,13.007,12.771,0.235,0.587,0.556,-0.004,83.004,10.726,11.805,1.972,0.001,0.243,0.002,0.001,0.047,-0.005,1,1,1,1,1.006,0,12.004,12.004,1.001,1,1,2.342,268.398,-250.198,19.981,17.611,1,0,12.005,0,1.001,0,0,5.001,2.957,5.001,0,-1.628,-6.139,-0.327,5,0,11.344,-0.032,0.149,-0.000737,0.001178,0.062,0.004192,0.000851,0.59,-0.002498,0.000392,0.52,0.01,0.00049,0.4,0.000198,0.677,0.344,0.000245,-0.000297,3.381,2.974,406.908,1.169,0.408,1.003,0.787,0.979,0.83,5.527,30.203,4.148,1.26,0.732,11.2,29.987,0.975,11.002,5.942,27.089,16.767,28.339,27.375,35.647,14.628,500,28.542,17.021,175.329,210.115,511.396,1525.037,15.543,11.466,16.962,79.051,79.583,79.988,101.185,2.002,0.585,0.553,-0.003,82.891,10.679,11.881,-0.205,-0.003,-0.247,-0.001,-0.114,-0.094,0.08
18,1,1,-0.523,-0.528,-0.553,-0.553,-4.1,-0.433,-0.211,-0.16,-0.535,-0.537,-0.554,-0.653,-0.557,0.004,10.363,35.728,0.013,-0.33632,1.0225,724.22,2.41,0.596,1.067,0,82.26,10.9,11.673,2.957,0.664,1.797,-0.001,103.667,12.903,12.605,0.219,0.596,0.589,0.001,82.255,10.665,11.673,2.191,0,0.477,-0.002,0.005,0.235,0,1,1,1,1.003,1.001,0.003,12.002,11.999,1.002,1,1.003,2.339,264.921,-256.289,19.505,17.155,1.002,-0.001,11.997,0.001,1.001,0,0.001,5.001,2.945,5.001,0.001,-1.573,-5.947,-0.339,5.001,0,11.242,-0.024,0.148,0.00147,0.002098,0.061,0.003867,0.001836,0.597,-0.00063,0.001016,0.522,0.01,0.0012,0.403,0.002547,0.679,0.347,-0.000091,0.001278,3.339,2.974,364.897,1.182,0.38,1.012,0.776,1.135,0.838,5.505,30.141,4.154,1.232,0.74,11.1,29.971,0.969,11.079,5.811,27.948,17.351,27.9,27.011,40.001,12.184,500,27.777,17.535,174.828,217.084,499.785,1619.456,16.067,12.569,19.49,78.503,78.895,79.213,100.904,2.468,0.594,1.159,0.001,82.167,10.634,11.749,0.058,-0.002,0.092,0.002,-0.092,-0.266,0.076
19,1,0,-0.519,-0.523,-0.549,-0.547,-4.093,-0.51,-0.211,-0.161,-0.541,-0.532,-0.549,-0.652,-0.552,0.003,10.372,35.921,0.011,-0.23939,0.71856,728.49,2.165,0.568,1.046,-0.002,78.409,9.991,11.352,2.575,0.635,1.596,-0.002,98.681,12.022,12.261,0.205,0.568,0.435,-0.002,78.414,9.913,11.35,1.96,0,0.612,0,-0.004,0.078,0.002,1,1,1,1.001,1.002,0,12.004,12.004,1.001,1.003,1.001,2.315,259.356,-245.971,20.326,17.535,1.001,0,12.005,0,1.003,0,0,5.001,2.922,5.001,0,-1.423,-5.452,-0.323,5,0,10.918,-0.04,0.15,-0.000753,0.001178,0.06,0.003804,0.000752,0.57,-0.002251,0.00108,0.508,0.01,0.000543,0.382,0.00042,0.649,0.33,0.000154,-0.0001,3.295,2.914,381.613,1.136,0.4,0.982,0.771,1.092,0.834,5.309,30.19,4.201,1.324,0.735,11.1,29.987,0.957,10.589,5.83,27.096,16.792,27.663,26.945,35.3,14.771,500,28.716,17.075,177.665,220.771,516.057,1638.706,15.453,11.975,17.428,81.583,82.078,82.382,100.979,2.311,0.567,0.635,-0.001,78.329,10.007,11.424,0.146,-0.002,-0.411,0,-0.081,0.016,0.072
20,1,1,-0.514,-0.52,-0.546,-0.545,-4.1,-0.505,-0.217,-0.166,-0.539,-0.532,-0.546,-0.653,-0.55,0.005,10.37,35.891,0.012,-0.24317,1.08984,726.16,2.34,0.583,0.971,0.002,80.109,10.181,12.007,2.799,0.649,1.62,-0.001,100.828,12.199,12.976,0.301,0.583,0.691,0.001,80.101,10.493,12.012,2.039,0,0.28,0.001,0.008,-0.313,-0.005,1,1,1,1.003,1.004,0.002,11.999,12,1.002,1.001,1.004,2.321,262.39,-248.395,20.125,17.438,1.002,0,12,0,1,0,0.002,5.001,2.943,5.001,0,-1.521,-5.707,-0.332,5.001,0,11.554,-0.018,0.15,0.001899,0.001508,0.058,0.00362,0.001246,0.586,-0.001315,0.000918,0.519,0.01,0.001547,0.397,0.00286,0.65,0.341,-0.00017,0.001278,3.414,3.034,379.906,1.14,0.376,0.974,0.765,1.031,0.836,5.505,30.141,4.151,1.288,0.74,10.3,29.971,0.932,11.386,5.761,28.231,16.701,26.906,26.427,36.353,12.013,500,27.449,17.161,173.961,215.115,517.019,2007.233,15.681,12.382,19.658,79.046,79.432,79.635,100.744,2.343,0.582,0.655,0.001,80.031,10.337,12.073,0.003,-0.001,-0.316,-0.001,-0.077,0.156,0.066
21,1,0,-0.529,-0.53,-0.554,-0.553,-4.093,-0.437,-0.211,-0.161,-0.535,-0.537,-0.553,-0.653,-0.557,0.004,10.372,35.725,0.012,-0.06131,0.71699,724.73,2.208,0.583,0.668,-0.001,81.755,10.788,11.212,2.683,0.651,1.559,-0.002,103.004,12.772,12.124,0.2,0.583,0.724,-0.002,81.75,10.835,11.213,2.008,0,-0.056,0,0.005,-0.047,-0.001,1,1,1,1.001,1.001,0,12.005,12.005,1.002,1,1.001,2.338,263.285,-252.046,19.836,17.427,1,0,12.005,0,1,0,0,5,2.949,5.001,0,-1.584,-6.006,-0.328,5,0,10.792,-0.028,0.142,-0.000471,0.000916,0.061,0.003854,0.001244,0.585,-0.00156,0.000687,0.507,0.01,0.000562,0.394,-0.000615,0.659,0.337,-0.000021,0.00049,3.274,2.924,349.447,1.182,0.41,1.013,0.778,1.159,0.836,4.886,30.194,4.195,1.183,0.727,11.3,29.986,0.963,10.972,5.938,27.265,16.927,28.551,27.538,35.817,15.046,500,28.961,17.451,176.083,210.606,504.102,1514.859,15.724,12.089,17.722,79.87,80.351,80.601,100.916,2.269,0.582,1,-0.002,81.662,10.788,11.291,0.061,-0.001,0.332,0,-0.093,0,0.079
