DUT,Bin,ID,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127,128,129,130,131,132,133,134,135,136,137,138,139,140,141,142,143,144,145,146,147,148,149,150,151,152,
DUT,Bin,Site,GL Continuity,GH Continuity,SMOD Continuity,DISB Continuity,NC Continuity,VIN Continuity,PHASE Continuity,SW Continuity,BOOT Continuity,VCIN Continuity,PWM Continuity,THDN Continuity,VDRV_Continuity,PRE_UIL_IDSS,PEAK_ID,BV_AVALANCHE,POST_UIL_IDSS,Boot_Diode_IR,Boot_SW,Boot_Diode_VF,PRE_I_VDRV,PRE_I_VCIN,PRE_I_VIN,PRE_I_SMOD,PRE_I_THDN,PRE_I_PWM,PRE_I_DISB,AMR_I_VDRV,AMR_I_VCIN,AMR_I_VIN,AMR_I_SMOD,AMR_I_THDN,AMR_I_PWM,AMR_I_DISB,POST_I_VDRV,POST_I_VCIN,POST_I_VIN,POST_I_SMOD,POST_I_THDN,POST_I_PWM,POST_I_DISB,DELTA_I_VDRV,DELTA_I_VCIN,DELTA_I_VIN,DELTA_I_SMOD,DELTA_I_THDN,DELTA_I_PWM,DELTA_I_DISB,SW_PSD000,SW_PSD010,SW_PSD110,SW_PSD100,SW_PSD001,SW_PSD011,SW_PSD101,SW_PSD111,SW_PSDx11,SW_PSDx01,SW_PSD000,PWM_FLOAT,I_PWM_HI,I_PWM_LO,PWMSrcRes,PWMSnkRes,PWM_TRI_LO_GH,PWM_TRI_LO_GL,PWM_VIH_GH,PWM_VIH_GL,PWM_TRI_HI_GH,PWM_TRI_HI_GL,PWM_VIL_GH,PWM_VIL_GL,SMOD_FLOAT,SMOD_ON,SMOD_OFF,I_SMOD_HI,I_SMOD_LO,DISB_FLOAT,DISB_ON,DISB_OFF,I_DISB_HI,I_DISB_LO,IQ_PSD000_VCIN,IQ_PSD000_VDRV,IQ_PSD000_VIN,IQ_PSD010_VCIN,IQ_PSD010_VDRV,IQ_PSD010_VIN,IQ_PSD011_VCIN,IQ_PSD011_VDRV,IQ_PSD011_VIN,IQ_PSD101_VCIN,IQ_PSD101_VDRV,IQ_PSD101_VIN,IQ_PSD111_VCIN,IQ_PSD111_VDRV,IQ_PSD111_VIN,IQ_PSDX11_VCIN,IQ_PSDX11_VDRV,IQ_PSDX11_VIN,UVLO_UP,UVLO_DN,UVLO_HYS,LdrvSource,LdrvSink,HdrvSource,HdrvSink,HS_Vgsth,HSFET_VSD,HSFET_IDSS,HSFET_IDON,HSFET_RDSON,LS_Vgsth,LSFET_VSD,LSFET_IDSS,LSFET_IDON,LSFET_RDSON,Tr_gh,Tf_gh,Td_deadon,Tpd_plghl,Tpd_phghh,Tpd_tsghh,Tr_gl,Tf_gl,T_ZCD_min,Tpd_phgll,Tpd_tsglh,Td_holdoff,Tpd_disbl,Tpd_disbh,Tpd_slgll,Tpd_shglh,Tdeadoff,Tdeadon,IQ_VIN_1000F_5,IQ_VIN_1000F_5_5,IQ_VIN_1000F_6,IQ_VIN_Ratio_5V_6V,POST_I_VDRV,POST_I_VCIN,POST_I_VIN,POST_I_SMOD,POST_I_THDN,POST_I_PWM,POST_I_DISB,DELTA_I_VDRV,DELTA_I_VCIN,DELTA_I_VIN,DELTA_I_SMOD,DELTA_I_THDN,DELTA_I_PWM,DELTA_I_DISB,
1,1,0,-0.529717,-0.533073,-0.552583,-0.549512,-4.09504,-0.522289,-0.216165,-0.165707,-0.539587,-0.537654,-0.550787,-0.658076,-0.558116,0,0,0,0,-1.11893,1.15727,728.277,2.41433,0.601567,0.24971,-0.00617432,83.2975,10.5049,12.1174,3.38652,0.666293,3.05281,-0.00746246,104.901,12.4421,13.1035,0.252206,0.597827,0.285942,-0.00868776,83.3004,10.7236,12.1198,0,0,0,0,0,0,0,0.998878,0.998587,0.998672,1.00865,1.00865,0.00760014,12.0061,12.005,1.00648,1.00648,1.00756,2.33741,269.908,-254.892,19.6148,17.2215,1.00973,0.000117638,12.0071,4.55967e-005,1.00648,0.000189679,0.00542867,5.00474,2.97731,5.00524,0.000693966,-1.69222,-6.29696,-0.332939,5.00191,0.000766007,11.681,-0.0485772,0.155107,0.0039823,-8.01295e-005,0.0618506,0.00434487,0.000739099,0.598325,-0.0122958,0.000411407,0.53054,0.0102294,5.07026e-006,0.406638,-0.00322843,0.697109,0.34854,-0.000393522,-4.73603e-005,3.3812,3.02491,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11.7867,5.75352,27.6212,16.7281,27.1024,25.9951,34.5864,14.4826,0,27.2832,17.5165,171.135,208.592,500.415,1613.94,15.3986,12.3903,18.2355,77.1089,77.3579,77.436,0,2.32258,0.599853,0.58898,-0.00774522,83.2353,10.583,12.1762,0,0,0,0,0,0,0,
2,1,0,-0.535264,-0.546179,-0.552571,-0.549512,-4.09504,-0.522581,-0.21614,-0.165744,-0.539624,-0.537742,-0.550812,-0.658101,-0.558066,0,0,0,0,-1.1491,1.04729,728.29,2.40051,0.601411,0.437461,-0.00538887,83.2974,10.4111,12.1214,3.07482,0.666495,3.07916,-0.00777664,104.901,12.5203,13.1022,0.181507,0.597577,0.549454,-0.00868776,83.2931,10.6767,12.1156,0,0,0,0,0,0,0,0.998728,0.998644,0.998747,1.00973,1.00973,0.00542867,12.0061,12.0039,1.00865,1.00756,1.00648,2.33729,270.033,-254.92,19.6137,17.217,1.00865,0.000333761,12.0082,0.00026172,1.0043,0.000117638,0.0108573,5.00452,2.97715,5.00531,0.000766007,-1.69285,-6.29743,-0.332362,5.00188,0.000838048,11.6857,0.0111127,0.15464,0.00413233,0.000575253,0.0621312,0.00456366,0.000771868,0.599447,-0.0131584,0.000280331,0.530702,0.0102294,-0.00013256,0.406763,-0.00270958,0.697031,0.348633,6.90653e-005,-0.000342282,3.38152,3.02491,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11.8052,5.88511,27.4938,16.8141,27.2797,26.2495,34.4925,14.7741,0,27.2298,17.4206,170.957,208.466,500.428,1621.06,15.3789,12.2353,18.223,77.1035,77.3559,77.4428,0,2.31096,0.600071,0.4704,-0.00633141,83.2362,10.5986,12.1773,0,0,0,0,0,0,0,
3,1,0,-0.46459,-0.53947,-0.552009,-0.548912,-4.09504,-0.520666,-0.215003,-0.16467,-0.538612,-0.537042,-0.550225,-0.656914,-0.557378,0,0,0,0,-1.17643,0.940774,727.515,2.39077,0.600912,0.480282,-0.00601723,83.285,10.7704,12.1343,2.98495,0.666075,2.46979,-0.00655134,104.88,12.8015,13.1239,0.211358,0.597437,0.341938,-0.00790231,83.2834,10.458,12.1391,0,0,0,0,0,0,0,0.998868,0.998672,0.998691,1.00973,1.00865,0.00868588,12.0039,12.005,1.00648,1.00865,1.00648,2.33738,269.783,-254.798,19.6225,17.227,1.00865,4.55967e-005,12.0082,0.000117638,1.00865,-9.84854e-005,0.00977161,5.00467,2.97712,5.00531,0.000838048,-1.67275,-6.28294,-0.331606,5.00188,0.000766007,11.7011,-0.0401997,0.154764,0.00401043,0.000345869,0.0616013,0.00410107,-0.000178437,0.598606,-0.0124395,-0.000178437,0.530814,0.0102294,6.40547e-005,0.405703,-0.00355974,0.696965,0.348976,-0.000221614,5.0947e-005,3.39182,3.0246,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.0991,5.72915,27.5773,16.8037,27.2884,26.0578,34.7912,14.6219,0,27.175,17.2955,171.245,208.812,501.127,1624.57,15.4463,12.2672,18.4751,77.1035,77.3504,77.436,0,2.34206,0.599603,0.437461,-0.00366089,83.2255,10.5361,12.1938,0,0,0,0,0,0,0,
4,1,0,-0.472074,-0.539745,-0.551722,-0.548637,-4.09504,-0.519952,-0.21444,-0.164095,-0.538162,-0.536518,-0.549887,-0.656265,-0.556954,0,0,0,0,-1.21163,0.99042,727.091,2.45518,0.600772,0.391347,-0.00680268,83.2777,10.4736,12.1464,3.0324,0.665607,2.3578,-0.00761955,104.873,12.5359,13.1294,0.200046,0.597063,0.236534,-0.00523178,83.2762,10.6767,12.1423,0,0,0,0,0,0,0,0.998784,0.998625,0.998719,1.00973,1.00973,0.00977161,12.0071,12.0061,1.00756,1.00756,1.00539,2.33722,269.908,-254.736,19.6274,17.2291,1.00756,4.55967e-005,12.005,-0.000170526,1.00648,0.00026172,0.0108573,5.00481,2.97709,5.00474,0.000693966,-1.68908,-6.27429,-0.331299,5.00194,0.000838048,11.7059,0.00482956,0.154983,0.00374163,0.000378638,0.0615389,0.00367912,0.000444177,0.598762,-0.0113018,-0.000309513,0.530764,0.0102294,4.43932e-005,0.40614,-0.00246266,0.69667,0.348852,0.000234721,-0.000604435,3.39182,3.02398,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11.8066,5.71277,27.5782,16.7579,27.177,26.1403,34.8606,14.6176,0,27.2515,17.573,171.422,208.839,501.761,1623.02,15.3442,12.4146,18.383,77.0989,77.3484,77.4194,0,2.31724,0.599666,0.579099,-0.00428925,83.2174,10.5049,12.2017,0,0,0,0,0,0,0,
5,1,0,-0.535826,-0.547091,-0.552533,-0.549499,-4.09504,-0.522516,-0.216065,-0.165644,-0.539487,-0.537792,-0.550799,-0.657938,-0.558003,0,0,0,0,-1.1403,1.07652,728.252,2.41779,0.601489,0.58898,-0.00460342,83.2975,10.7236,12.1211,3.01166,0.66648,2.23922,-0.00702261,104.898,12.5671,13.1068,0.233039,0.597951,0.401228,-0.00570305,83.2942,10.7704,12.1204,0,0,0,0,0,0,0,0.998794,0.998644,0.998691,1.00973,1.00865,0.00868588,12.0071,12.0071,1.00648,1.00973,1.00865,2.33726,269.846,-254.92,19.6123,17.2177,1.00865,0.000333761,12.0061,0.000189679,1.00648,0.00026172,0.0108573,5.00467,2.97725,5.00467,0.000910089,-1.69159,-6.29469,-0.332859,5.00198,0.000910089,11.6854,-0.000406393,0.155263,0.00501062,0.000476946,0.0615078,0.00430111,-0.000506128,0.599011,-0.0125302,-4.73603e-005,0.530633,0.0102294,-2.1145e-005,0.406545,-0.00352536,0.696952,0.348758,0.000284731,-0.000309513,3.38152,3.02429,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11.9406,5.67504,27.5987,16.8098,27.2587,26.2602,34.9838,14.4079,0,27.2401,17.4015,170.975,208.513,500.417,1629.39,15.42,12.4827,18.356,77.0972,77.3458,77.4229,0,2.29273,0.600227,0.506633,-0.0035038,83.2338,10.6142,12.1797,0,0,0,0,0,0,0,
6,1,0,-0.497135,-0.541319,-0.552071,-0.549037,-4.09504,-0.520991,-0.215128,-0.164782,-0.538725,-0.537092,-0.550275,-0.656989,-0.557391,0,0,0,0,-1.18052,0.973453,727.603,2.40051,0.600803,0.503339,-0.00680268,83.2817,10.4424,12.1394,2.90514,0.666324,2.55214,-0.00680268,104.883,12.5827,13.1209,0.192505,0.597624,0.134423,-0.00601723,83.2815,10.583,12.1324,0,0,0,0,0,0,0,0.998775,0.9987,0.998616,1.00865,1.00973,0.00434294,12.0039,12.0039,1.00539,1.00322,1.00539,2.33729,269.783,-254.826,19.6201,17.224,1.00865,0.00026172,12.0039,0.000189679,1.00756,0.000333761,0.00868588,5.00474,2.97746,5.00488,0.000693966,-1.69976,-6.28313,-0.332195,5.00193,0.000910089,11.703,0.018443,0.155294,0.00400731,0.000280331,0.0613519,0.00406357,-0.000342282,0.598918,-0.0125364,-0.000309513,0.530615,0.0102294,-6.0468e-005,0.405984,-0.00283148,0.69686,0.348696,-0.000105968,0.000182024,3.38183,3.0246,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11.808,5.75596,27.5174,16.8763,27.1311,26.2696,35.294,14.8902,0,27.3442,17.4171,171.296,208.574,501.144,1623.55,15.4021,12.3212,18.0779,77.0896,77.3434,77.4192,0,2.2943,0.59951,0.226652,-0.00821649,83.2271,10.7392,12.1907,0,0,0,0,0,0,0,
6,1,0,-0.497135,-0.541319,-0.552071,-0.549037,-4.09504,-0.520991,-0.215128,-0.164782,-0.538725,-0.537092,-0.550275,-0.656989,-0.557391,0,0,0,0,-1.20031,0.959941,726.616,2.39328,0.60085,0.394641,-0.00366089,83.2675,10.6142,12.1575,2.90514,0.666324,2.55214,-0.00680268,104.883,12.5827,13.1209,0.192505,0.597624,0.134423,-0.00601723,83.2815,10.583,12.1324,0,0,0,0,0,0,0,0.998775,0.9987,0.998616,1.00865,1.00973,0.00434294,12.0039,12.0039,1.00539,1.00322,1.00539,2.33729,269.783,-254.826,19.6201,17.224,1.00865,0.00026172,12.0039,0.000189679,1.00756,0.000333761,0.00868588,5.00474,2.97746,5.00488,0.000693966,-1.69976,-6.28313,-0.332195,5.00193,0.000910089,11.703,0.018443,0.155294,0.00400731,0.000280331,0.0613519,0.00406357,-0.000342282,0.598918,-0.0125364,-0.000309513,0.530615,0.0102294,-6.0468e-005,0.405984,-0.00283148,0.69686,0.348696,-0.000105968,0.000182024,3.39213,3.02429,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.0957,5.86239,27.763,17.0116,27.2,26.2633,35.0007,14.4474,0,27.3252,17.4141,171.411,208.732,501.467,1629.49,15.4377,12.2761,18.249,77.0896,77.3434,77.4192,0,2.07121,0.60004,0.592274,-0.00586014,83.2747,10.4424,12.1503,0,0,0,0,0,0,0,
7,1,0,-0.535526,-0.547003,-0.552746,-0.549711,-4.09504,-0.522971,-0.216477,-0.166069,-0.539887,-0.538029,-0.550937,-0.658376,-0.558328,0,0,0,0,-1.20031,1.08343,728.515,2.40585,0.601614,0.565923,-0.00711686,83.3021,10.6298,12.1132,2.97175,0.666464,2.47309,-0.00695977,104.91,12.7702,13.0963,0.273887,0.597811,0.536278,-0.00695977,83.3044,10.3955,12.1179,0,0,0,0,0,0,0,0.998747,0.998644,0.998737,1.00973,1.00973,0.00868588,12.005,12.0061,1.00648,1.00648,1.00648,2.33741,270.189,-254.967,19.609,17.2165,1.00865,0.000405802,12.0061,0.000117638,1.00756,0.00026172,0.00760014,5.00474,2.97715,5.00503,0.000766007,-1.68657,-6.30258,-0.333314,5.002,0.000693966,11.6791,-0.0192558,0.155014,0.00417296,0.00070633,0.0619441,0.00468868,0.000378638,0.599198,-0.0126896,8.37162e-005,0.530808,0.0102294,2.47317e-005,0.406295,-0.00221261,0.697044,0.348291,-0.000334136,-0.000735512,3.38152,3.0246,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.1468,5.83415,27.5974,16.9525,27.2676,26.0748,34.5482,14.7929,0,27.231,17.2894,170.821,208.251,500.032,1630.38,15.3242,12.3262,18.2816,77.0923,77.3398,77.4149,0,2.2987,0.599915,0.625213,-0.00507469,83.2445,10.6923,12.1767,0,0,0,0,0,0,0,
8,1,0,-0.531441,-0.543118,-0.552421,-0.549374,-4.09504,-0.522029,-0.215852,-0.165457,-0.539362,-0.537542,-0.550612,-0.657776,-0.557966,0,0,0,0,-1.1469,0.974395,728.04,2.38448,0.601021,0.460518,-0.00570305,83.292,10.6611,12.1242,2.94536,0.666246,2.35451,-0.00758813,104.896,12.739,13.1047,0.263203,0.597873,0.384759,-0.00774522,83.2972,10.6923,12.1215,0,0,0,0,0,0,0,0.998803,0.998644,0.998672,1.00865,1.00973,0.00868588,12.0061,12.0061,1.00756,1.00756,1.00648,2.33744,269.877,-254.886,19.6158,17.222,1.00865,0.000117638,12.0082,4.55967e-005,1.00648,0.00026172,0.00542867,5.00431,2.97746,5.00467,0.000838048,-1.68594,-6.29359,-0.332381,5.0019,0.000838048,11.6886,-0.025539,0.154359,0.00463867,0.000771868,0.0621935,0.00443864,0.000968483,0.599416,-0.0121676,0.000182024,0.530733,0.0102294,3.12856e-005,0.406327,-0.00231888,0.696893,0.348228,-0.00025287,-0.000178437,3.38152,3.0246,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.0673,5.57314,27.4596,16.7667,27.1566,26.2151,34.6144,14.8476,0,27.326,17.6475,170.986,208.715,500.329,1621.81,15.3625,12.3468,17.9788,77.0864,77.3378,77.4169,0,2.28393,0.599712,0.430873,-0.00413216,83.2364,10.4736,12.1803,0,0,0,0,0,0,0,
9,1,0,-0.531041,-0.542793,-0.552259,-0.549149,-4.09504,-0.521543,-0.215502,-0.165069,-0.539049,-0.53733,-0.550449,-0.657339,-0.557653,0,0,0,0,-1.20817,1.04761,727.865,2.37003,0.601084,0.463812,-0.00680268,83.289,10.6298,12.1328,2.9749,0.666028,2.25239,-0.00743104,104.893,12.6765,13.1132,0.17428,0.597702,0.266179,-0.00743104,83.2941,10.7548,12.1281,0,0,0,0,0,0,0,0.998756,0.998522,0.998728,1.00973,1.00973,0.00868588,12.0082,12.0071,1.00539,1.00756,1.00756,2.33738,269.908,-254.833,19.619,17.2253,1.00973,0.000189679,12.0071,-2.64444e-005,1.00865,4.55967e-005,0.0108573,5.00474,2.97725,5.00395,0.00098213,-1.69285,-6.2886,-0.331607,5.00182,0.000693966,11.6936,-0.0328693,0.15517,0.00385103,0.000608022,0.0621623,0.00422922,0.000345869,0.598481,-0.0117269,0.000378638,0.530739,0.0102294,0.000116485,0.406015,-0.00283461,0.697208,0.348478,6.55353e-006,-0.000243975,3.38152,3.02429,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.2348,5.73959,27.7304,16.6367,27.3254,26.1592,34.7806,14.6677,0,27.2984,17.5363,170.957,208.483,500.786,1629.02,15.38,12.2721,18.308,77.0851,77.3379,77.4143,0,2.27419,0.599479,0.54616,-0.00366089,83.232,10.3642,12.1855,0,0,0,0,0,0,0,
