ID,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122
DUT,GL Continuity,GH Continuity,FCCM Continuity,VIN Continuity,PHASE Continuity,SW Continuity,BOOT Continuity,VCC Continuity,PWM Continuity,PVCC Continuity,PRE_I_PVCC,PRE_I_VCC,PRE_I_VIN,PRE_I_FCCM,PRE_I_PWM,AMR_I_PVCC,AMR_I_VCC,AMR_I_VIN,AMR_I_FCCM,AMR_I_PWM,POST_I_PVCC,POST_I_VCC,POST_I_VIN,POST_I_FCCM,POST_I_PWM,DELTA_I_PVCC,DELTA_I_VCC,DELTA_I_VIN,DELTA_I_FCCM,DELTA_I_PWM,Boot_Diode_IR,Boot_SW,Boot_Diode_VF,IQ_VIN_1000F_5,IQ_VIN_1000F_5_5,IQ_VIN_1000F_6,IQ_Ratio_5V_6V,SW_PF00,SW_PF01,SW_PF11,SW_PF10,SW_PFx1,SW_PFx0,SW_PF1x,SW_PF0x,SW_PF00,IQ_PFxx_VCC,IQ_PFxx_PVCC,IQ_PFxx_VIN,IQ_PFx0_VCC,IQ_PFx0_PVCC,IQ_PFx0_VIN,IQ_PFx1_VCC,IQ_PFx1_PVCC,IQ_PFx1_VIN,IQ_PF11_VCC,IQ_PF11_PVCC,IQ_PF11_VIN,IQ_PF10_VCC,IQ_PF10_PVCC,IQ_PF10_VIN,IQ_PF01_VCC,IQ_PF01_PVCC,IQ_PF01_VIN,I_PWM_Hi,I_PWM_Lo,PWM_Tri_Lo,PWM_VIH,PWM_Tri_Hi,PWM_VIL,FCCM_float,FCCM_Tri_Lo,FCCM_Tri_Hi,FCCM_VIH,FCCM_VIL,I_FCCM_Hi,I_FCCM_Lo,UVLO_Up,UVLO_Dn,UVLO_hys,LdrvSource,LdrvSink,HdrvSource,HdrvSink,HS_Vgsth,HSFET_VSD,HSFET_IDSS,HSFET_IDON,HSFET_RDSON,LS_Vgsth,LSFET_VSD,LSFET_IDSS,LSFET_IDON,LSFET_RDSON,Tr_gh,Tf_gh,Td_deadon,Tpd_plghl,Tpd_phghh,Tpd_tsghh,Tr_gl,Tf_gl,Tpd_phgll,Tpd_tsglh,Td_holdoff,Tpd_flgll,Tpd_fhglh,Tps_exit,Td_por,Tdeadoff,Tdeadon,POST_I_PVCC,POST_I_VCC,POST_I_VIN,POST_I_FCCM,POST_I_PWM,DELTA_I_PVCC,DELTA_I_VCC,DELTA_I_VIN,DELTA_I_FCCM,DELTA_I_PWM,Dummy
1,-0.459,-0.469,-0.685,-0.525,-0.254,-0.204,-0.621,-0.615,-0.695,-0.625,2.929,84.346,2.041,49.394,10.568,3.448,105.165,13.177,58.774,12.488,0.978,82.133,1.216,49.389,10.552,1.95,2.213,0.825,0.005,0.016,2.6,3.8,685.4,51.345,48.265,50.385,98.132,1.005,0,12.006,12.005,1.001,1.003,1.003,1.005,1.002,5.345,0.004,0.015,130.69,0,0.009,81.894,0,0.009,136.498,0,0.643,294.802,0,0.643,328.344,0.002,0.01,262.295,-249.334,1.001,12.003,1.003,0.001,1.989,1,1,5.07,0,48.719,-44.681,3.196,2.846,350.5,1.104,0.329,1.13,0.82,1.09,0.895,1.618,29.655,7.773,1.304,0.787,2.2,29.943,3.039,5.012,3.3,15.816,20.166,44.823,40.359,5.744,2.56,27.908,18.505,177.86,1627.601,142.863,2.416,1.973,17.522,18.186,-0.262,81.431,-0.051,49.397,10.318,-3.19,-2.915,-2.092,0.003,-0.25,0.01
2,-0.466,-0.478,-0.685,-0.525,-0.253,-0.203,-0.621,-0.615,-0.695,-0.624,2.816,84.533,1.868,49.38,10.724,3.535,105.04,10.17,58.758,12.66,0.947,82.32,1.145,49.392,10.552,1.869,2.213,0.724,-0.013,0.172,2.5,3.8,685.1,51.237,48.181,50.297,98.165,1.005,0.002,12.004,12.005,1.002,1.001,1.004,1.004,1.002,5.426,0.004,0.012,130.905,0,0.006,82.049,0,0.006,136.402,0.001,0.64,295.081,0,0.64,328.426,0.002,0.006,262.23,-249.583,1.001,12.004,1.003,0.002,1.988,1,1,5.072,0,48.684,-44.775,3.203,2.831,371.7,1.105,0.329,1.13,0.821,1.09,0.894,1.617,29.654,7.777,1.305,0.787,2.3,29.938,3.041,4.898,3.294,15.788,20.063,44.613,40.253,5.661,2.527,28.013,18.602,178.044,1634.217,142.888,2.417,1.976,17.372,18.316,-0.249,81.011,-0.089,49.395,10.287,-3.066,-3.523,-1.957,0.016,-0.437,0.01
3,-0.464,-0.478,-0.684,-0.524,-0.253,-0.203,-0.62,-0.614,-0.695,-0.624,2.966,84.237,1.839,49.356,10.365,3.647,105.087,10.402,58.733,12.285,0.978,81.883,1.169,49.364,10.349,1.988,2.354,0.669,-0.008,0.016,2.5,3.9,684.9,51.179,48.145,50.235,98.156,1.005,0,12.006,12.004,1.001,1.002,1.001,1.003,1.002,5.371,0.005,0.012,131.007,0,0.006,81.918,0,0.006,136.444,0,0.64,295.087,0,0.64,328.235,0.002,0.007,262.198,-249.458,1.001,12.004,1.004,0,1.991,1,1,5.071,0,48.687,-44.806,3.204,2.832,371.4,1.106,0.329,1.13,0.821,1.09,0.896,1.595,29.647,7.781,1.304,0.791,2.3,29.938,3.043,4.884,3.26,16.083,20.198,44.69,40.298,5.284,2.757,27.926,18.575,178.019,1631.446,142.994,2.42,1.979,17.478,18.229,-0.237,81.229,-0.129,49.392,10.271,-3.203,-3.008,-1.968,0.036,-0.094,0.01
4,-0.464,-0.478,-0.684,-0.524,-0.253,-0.203,-0.62,-0.614,-0.694,-0.623,2.767,84.564,1.835,49.364,10.412,3.859,104.463,10.895,58.761,12.488,1.059,81.977,1.15,49.392,10.49,1.707,2.587,0.685,-0.028,-0.078,2.5,4,684.6,51.156,48.136,50.228,98.187,1.005,0.001,12.005,12.005,1.001,1.002,1.001,1.007,1.003,5.342,0.005,0.012,130.656,0,0.007,81.916,0.001,0.006,136.531,0.001,0.64,295.145,0,0.64,328.346,0.002,0.007,262.18,-249.396,1.001,12.004,1.002,0.001,1.991,1,1,5.068,0,48.669,-45.118,3.204,2.831,372.4,1.107,0.329,1.131,0.821,1.087,0.895,1.593,29.651,7.787,1.304,0.788,2.3,29.935,3.043,5.017,3.413,15.986,20.203,44.724,40.294,5.43,2.486,27.83,18.42,178.097,1627.285,142.933,2.423,1.973,17.423,18.065,-0.411,81.244,-0.083,49.414,10.521,-3.178,-3.32,-1.919,0.05,0.109,0.011
5,-0.464,-0.478,-0.684,-0.524,-0.253,-0.203,-0.62,-0.614,-0.694,-0.623,3.01,84.549,1.836,49.375,10.318,3.659,104.931,11.349,58.733,12.473,0.91,82.226,1.158,49.38,10.568,2.1,2.322,0.679,-0.005,-0.25,2.5,3.7,684.6,51.148,48.128,50.22,98.185,1.004,0.003,12.006,12.003,1.003,1.008,1.004,1.002,1.005,5.345,0.005,0.013,130.986,0,0.007,81.897,0,0.007,136.563,0.001,0.641,295.095,0,0.641,328.327,0.002,0.008,262.145,-249.302,1.001,12.004,1.004,0,1.99,1,1,5.07,0,48.656,-44.775,3.203,2.831,371.7,1.106,0.329,1.131,0.822,1.086,0.895,1.612,29.648,7.789,1.304,0.79,2.3,29.935,3.045,4.831,3.255,15.882,20.188,44.641,40.247,5.873,2.506,27.945,18.447,178.161,1628.262,142.938,2.422,1.978,17.249,18.332,-0.212,80.699,-0.11,49.389,10.552,-3.221,-3.85,-1.946,0.014,0.234,0.011
6,-0.464,-0.478,-0.684,-0.524,-0.253,-0.203,-0.62,-0.613,-0.694,-0.623,2.916,84.175,1.831,49.386,10.365,3.809,105.243,11.954,58.736,12.566,0.941,82.258,1.17,49.373,10.506,1.975,1.917,0.661,0.013,-0.141,2.5,3.6,684.5,51.14,48.126,50.21,98.182,1.009,0,12.006,12.005,1.001,1.002,1.003,1.002,1.007,5.327,0.004,0.013,131.006,0,0.008,82.141,0.001,0.008,136.452,0,0.641,295.124,0,0.641,328.159,0.002,0.008,262.126,-249.396,1.001,12.005,1.001,0.002,1.991,1,1,5.071,0,48.678,-45.118,3.204,2.832,371.7,1.107,0.33,1.131,0.822,1.086,0.895,1.596,29.645,7.79,1.304,0.79,2.4,29.934,3.043,4.904,3.406,16.035,20.177,44.755,40.361,5.766,2.515,28.136,18.511,178.123,1618.035,143.078,2.422,1.972,17.468,18.253,-0.118,81.213,-0.085,49.395,10.474,-3.034,-2.962,-1.916,0.009,0.109,0.01
7,-0.463,-0.478,-0.684,-0.524,-0.253,-0.203,-0.62,-0.613,-0.694,-0.623,2.866,83.925,1.812,49.375,10.474,3.871,105.258,11.618,58.727,12.582,0.96,82.242,1.142,49.361,10.303,1.907,1.683,0.67,0.014,0.172,2.6,3.4,684.4,51.124,48.103,50.2,98.192,1.009,0.002,12.004,12.004,1.003,1.002,1.003,1.003,1.002,5.311,0.005,0.013,130.974,0,0.007,81.945,0.001,0.007,136.638,0,0.641,295.088,0,0.641,328.453,0.002,0.008,262.148,-249.396,1.001,12.005,1.001,0.001,1.989,1,1,5.07,0,48.69,-44.775,3.203,2.831,371.7,1.107,0.33,1.133,0.822,1.086,0.894,1.603,29.653,7.79,1.305,0.787,2.3,29.934,3.045,4.948,3.253,16.058,20.02,44.661,40.333,5.552,2.786,27.925,18.387,178.094,1630.074,142.852,2.422,1.976,17.453,18.292,-0.461,81.431,-0.108,49.392,10.506,-3.327,-2.494,-1.92,0.017,0.031,0.011
8,-0.463,-0.478,-0.683,-0.524,-0.252,-0.203,-0.62,-0.613,-0.694,-0.623,2.897,84.409,1.84,49.37,10.287,3.797,105.087,11.747,58.744,12.239,0.891,82.351,1.141,49.381,10.506,2.006,2.057,0.699,-0.011,-0.219,2.6,3.5,684.4,51.106,48.097,50.185,98.197,1.007,0.002,12.004,12.005,1.002,1.002,1.002,1.001,1.002,5.304,0.005,0.013,130.828,0,0.008,82.031,0.001,0.007,136.439,0,0.642,295.219,0,0.641,328.346,0.002,0.008,262.136,-249.458,1.001,12.005,1.004,0.002,1.991,1,1,5.071,0,48.7,-44.899,3.203,2.831,371.7,1.107,0.33,1.132,0.822,1.086,0.895,1.587,29.649,7.792,1.304,0.789,2.4,29.934,3.046,4.911,3.341,16.003,20.015,44.694,40.31,5.816,2.656,28.087,18.382,178.239,1625.594,143.09,2.425,1.981,17.394,18.155,-0.243,80.73,-0.085,49.395,10.271,-3.14,-3.679,-1.925,0.025,-0.016,0.01
9,-0.463,-0.477,-0.684,-0.524,-0.252,-0.203,-0.619,-0.613,-0.694,-0.623,2.916,84.003,1.811,49.384,10.662,3.971,104.9,11.722,58.752,12.317,0.997,81.993,1.111,49.378,10.428,1.919,2.011,0.7,0.006,0.234,2.7,3.9,684.3,51.108,48.096,50.187,98.198,1.01,0,12.003,12.007,1.002,1.001,1.003,1.004,1.002,5.292,0.004,0.013,130.926,0,0.007,81.99,0.001,0.008,136.457,0.001,0.641,295.286,0,0.641,328.361,0.002,0.008,262.101,-249.458,1.001,12.004,1.001,0.001,1.992,1,1,5.071,0,48.669,-44.806,3.204,2.832,371.7,1.108,0.33,1.132,0.822,1.086,0.894,1.583,29.655,7.791,1.305,0.787,2.4,29.932,3.046,5.003,3.358,16.017,20.099,44.779,40.406,5.363,2.601,27.875,18.369,178.585,1630.186,142.96,2.423,1.977,17.311,18.245,-0.361,81.509,-0.093,49.394,10.381,-3.277,-2.494,-1.904,0.009,-0.281,0.01
10,-0.463,-0.477,-0.684,-0.523,-0.252,-0.202,-0.619,-0.613,-0.694,-0.623,2.748,84.409,1.826,49.372,10.599,3.915,104.728,11.726,58.745,12.395,1.103,81.806,1.143,49.359,10.521,1.645,2.603,0.683,0.013,0.078,2.5,3.8,684.2,51.11,48.106,50.187,98.195,1.004,0.001,12.006,12.005,1.003,1.003,1.001,1.003,1.005,5.33,0.004,0.013,130.915,0,0.008,82.07,0.001,0.008,136.537,0.001,0.641,295.317,0,0.641,328.318,0.002,0.008,262.086,-248.897,1.001,12.005,1.002,0.002,1.991,1,1,5.068,0,48.709,-44.775,3.204,2.831,372,1.107,0.33,1.132,0.822,1.086,0.895,1.583,29.649,7.794,1.304,0.788,2.4,29.934,3.048,4.87,3.211,15.827,20.201,44.846,40.414,5.842,2.449,27.995,18.395,178.456,1623.705,143.066,2.425,1.973,17.478,18.115,-0.162,81.603,-0.126,49.392,10.349,-2.91,-2.806,-1.951,0.02,-0.25,0.01
